app_id,library_name,version,license_type,is_direct,last_updated
APP-001,vlib-06,0.9.10,Apache-2.0,True,2026-02-07
APP-001,xml-parser,3.9.14,Apache-2.0,True,2025-11-15
APP-001,http-agent,4.4.17,Unlicense,True,2025-10-21
APP-001,db-driver,4.12.5,ISC,True,2026-06-12
APP-001,urllib3,2.3.4,MIT,True,2025-12-09
APP-001,vlib-08,2.12.9,ISC,True,2026-01-05
APP-001,zip-utils,0.10.3,MIT,True,2025-12-01
APP-001,vlib-14,4.9.13,Unlicense,True,2026-04-03
APP-001,vlib-13,4.2.8,Unlicense,True,2025-10-30
APP-001,gnu-tables,3.12.17,GPL-3.0,True,2026-04-22
APP-001,gpl-lib-09,3.2.6,AGPL-3.0,True,2025-09-26
APP-001,gpl-lib-03,1.2.13,GPL-2.0,True,2026-06-13
APP-001,gnu-plotter,1.3.6,GPL-3.0,True,2025-12-07
APP-001,copyleft-orm,4.7.4,GPL-2.0,True,2025-08-27
APP-001,gpl-lib-05,3.0.5,GPL-2.0,True,2025-09-11
APP-001,stale-02,4.1.7,BSD-3-Clause,True,2022-12-21
APP-001,stale-07,4.8.10,Unlicense,True,2023-01-10
APP-001,stale-17,2.4.5,ISC,True,2023-07-15
APP-001,flash-bridge,3.8.16,MIT,True,2024-02-06
APP-001,stale-01,0.2.2,Zlib,True,2024-03-27
APP-001,ancient-xmlrpc,0.11.10,MIT,False,2023-11-19
APP-001,stale-08,2.3.10,BSD-2-Clause,True,2023-10-07
APP-001,stale-13,4.9.3,ISC,True,2023-08-25
APP-001,tlib-03,3.3.17,Apache-2.0,False,2026-05-16
APP-001,tlib-07,1.1.3,BSD-3-Clause,False,2025-10-29
APP-001,tlib-06,3.12.13,BSD-3-Clause,False,2026-06-17
APP-001,deep-base64,2.6.20,BSD-2-Clause,False,2025-09-23
APP-001,regex-engine,1.1.10,ISC,False,2026-05-31
APP-001,lib-34,1.6.18,Zlib,True,2025-12-29
APP-001,lib-07,0.6.1,Unlicense,False,2026-05-22
APP-001,lib-05,2.12.13,Unlicense,False,2026-06-06
APP-001,lib-30,1.6.12,MIT,True,2026-02-20
APP-001,lib-18,4.6.11,BSD-2-Clause,False,2026-06-16
APP-001,lib-25,0.10.10,Unlicense,True,2026-02-24
APP-001,flask,2.10.3,Apache-2.0,True,2026-04-29
APP-001,lib-29,2.8.4,Zlib,True,2026-03-07
APP-001,lib-17,2.0.3,Apache-2.0,False,2026-02-15
APP-001,lib-38,1.10.2,MIT,False,2026-04-02
APP-001,lib-11,1.6.10,ISC,False,2026-04-29
APP-001,requests,4.0.17,ISC,False,2026-04-04
APP-001,lib-03,1.2.5,BSD-3-Clause,True,2026-05-02
APP-001,structlog,2.3.7,BSD-3-Clause,True,2026-01-18
APP-001,lib-31,1.9.18,Apache-2.0,True,2025-12-16
APP-001,lib-39,2.8.20,Apache-2.0,True,2026-03-17
APP-001,lib-15,2.0.3,Unlicense,True,2026-02-22
APP-001,lib-24,1.5.13,Apache-2.0,False,2026-01-23
APP-001,lib-19,2.6.19,BSD-2-Clause,False,2025-08-23
