app_id,library_name,is_risky,risk_type,severity,explanation
APP-001,vlib-06,True,vulnerable,medium,vlib-06@0.9.10 matches a CVE in vulnerability_db
APP-001,xml-parser,True,vulnerable,medium,xml-parser@3.9.14 matches a CVE in vulnerability_db
APP-001,http-agent,True,vulnerable,critical,http-agent@4.4.17 matches a CVE in vulnerability_db
APP-001,db-driver,True,vulnerable,high,db-driver@4.12.5 matches a CVE in vulnerability_db
APP-001,urllib3,True,vulnerable,high,urllib3@2.3.4 matches a CVE in vulnerability_db
APP-001,vlib-08,True,vulnerable,medium,vlib-08@2.12.9 matches a CVE in vulnerability_db
APP-001,zip-utils,True,vulnerable,medium,zip-utils@0.10.3 matches a CVE in vulnerability_db
APP-001,vlib-14,True,vulnerable,medium,vlib-14@4.9.13 matches a CVE in vulnerability_db
APP-001,vlib-13,True,vulnerable,critical,vlib-13@4.2.8 matches a CVE in vulnerability_db
APP-001,gnu-tables,True,license_conflict,high,GPL-3.0 is incompatible with proprietary distribution per license_rules
APP-001,gpl-lib-09,True,license_conflict,high,AGPL-3.0 is incompatible with proprietary distribution per license_rules
APP-001,gpl-lib-03,True,license_conflict,high,GPL-2.0 is incompatible with proprietary distribution per license_rules
APP-001,gnu-plotter,True,license_conflict,high,GPL-3.0 is incompatible with proprietary distribution per license_rules
APP-001,copyleft-orm,True,license_conflict,high,GPL-2.0 is incompatible with proprietary distribution per license_rules
APP-001,gpl-lib-05,True,license_conflict,high,GPL-2.0 is incompatible with proprietary distribution per license_rules
APP-001,stale-02,True,unmaintained,medium,no update since 2022-12-21 (>18 months)
APP-001,stale-07,True,unmaintained,medium,no update since 2023-01-10 (>18 months)
APP-001,stale-17,True,unmaintained,medium,no update since 2023-07-15 (>18 months)
APP-001,flash-bridge,True,unmaintained,medium,no update since 2024-02-06 (>18 months)
APP-001,stale-01,True,unmaintained,medium,no update since 2024-03-27 (>18 months)
APP-001,ancient-xmlrpc,True,unmaintained,medium,no update since 2023-11-19 (>18 months)
APP-001,stale-08,True,unmaintained,medium,no update since 2023-10-07 (>18 months)
APP-001,stale-13,True,unmaintained,medium,no update since 2023-08-25 (>18 months)
APP-001,tlib-03,True,transitive_vulnerability,critical,tlib-03@3.3.17 matches a CVE in vulnerability_db via a transitive path
APP-001,tlib-07,True,transitive_vulnerability,medium,tlib-07@1.1.3 matches a CVE in vulnerability_db via a transitive path
APP-001,tlib-06,True,transitive_vulnerability,medium,tlib-06@3.12.13 matches a CVE in vulnerability_db via a transitive path
APP-001,deep-base64,True,transitive_vulnerability,high,deep-base64@2.6.20 matches a CVE in vulnerability_db via a transitive path
APP-001,regex-engine,True,transitive_vulnerability,critical,regex-engine@1.1.10 matches a CVE in vulnerability_db via a transitive path
APP-001,lib-34,False,clean,none,no known risk
APP-001,lib-07,False,clean,none,no known risk
APP-001,lib-05,False,clean,none,no known risk
APP-001,lib-30,False,clean,none,no known risk
APP-001,lib-18,False,clean,none,no known risk
APP-001,lib-25,False,clean,none,no known risk
APP-001,flask,False,clean,none,no known risk
APP-001,lib-29,False,clean,none,no known risk
APP-001,lib-17,False,clean,none,no known risk
APP-001,lib-38,False,clean,none,no known risk
APP-001,lib-11,False,clean,none,no known risk
APP-001,requests,False,clean,none,no known risk
APP-001,lib-03,False,clean,none,no known risk
APP-001,structlog,False,clean,none,no known risk
APP-001,lib-31,False,clean,none,no known risk
APP-001,lib-39,False,clean,none,no known risk
APP-001,lib-15,False,clean,none,no known risk
APP-001,lib-24,False,clean,none,no known risk
APP-001,lib-19,False,clean,none,no known risk
APP-001,uvicorn,False,clean,none,no known risk
APP-001,lib-12,False,clean,none,no known risk
APP-001,lib-21,False,clean,none,no known risk
APP-002,vlib-06,True,vulnerable,medium,vlib-06@0.9.10 matches a CVE in vulnerability_db
APP-002,serde-json,True,vulnerable,medium,serde-json@4.12.8 matches a CVE in vulnerability_db
APP-002,log4shell-core,True,vulnerable,high,log4shell-core@2.11.18 matches a CVE in vulnerability_db
APP-002,net-sock,True,vulnerable,high,net-sock@0.11.8 matches a CVE in vulnerability_db
APP-002,vlib-01,True,vulnerable,medium,vlib-01@4.1.20 matches a CVE in vulnerability_db
APP-002,pyyaml,True,vulnerable,medium,pyyaml@4.7.2 matches a CVE in vulnerability_db
APP-002,vlib-12,True,vulnerable,medium,vlib-12@1.2.15 matches a CVE in vulnerability_db
APP-002,auth-token,True,vulnerable,high,auth-token@2.1.9 matches a CVE in vulnerability_db
APP-002,vlib-15,True,vulnerable,high,vlib-15@1.8.6 matches a CVE in vulnerability_db
APP-002,gpl-lib-09,True,license_conflict,high,AGPL-3.0 is incompatible with proprietary distribution per license_rules
APP-002,gpl-lib-08,True,license_conflict,high,AGPL-3.0 is incompatible with proprietary distribution per license_rules
